label,message
ham,account update; now ;today discount lunch update urgent today click acco.unt reminder call verification reminder gift update reply discount
spam,"r;eply hello reminder .re,ply call now update today click click tomorrow"
ham,"o,ffer click gift reply discount; hello offer account verification free offer"
ham,"code today account reply reminder discount meeti,ng verifi.cation click"
ham,"up.dat;e verification gift ac,count free"
ham,offer gift free verification verificat;ion click offer reply hello tomorrow discount
ham,"account update account reminder gift reply tomorrow lunch w;in discount offer verification hello click meeting cl,ick lunch"
spam,"update win hello reminder call reminder discount mee;ting account lunch lunch code ,urgent"
ham,hello c;ode verification free repl.y tomorrow. meeting today tomorrow now verification
ham,"gift code free call discount offer ;urgent lunch lunch reminder discount call offer tomorrow discount g,ift offer click"
ham,"disco,unt offer offer urgent verification, reminder"
spam,"call meeting hello lunch free code call off,er call offer free ;account gift"
ham,"reminder today lunch code free reminder urgent ,today lunch up,date click urgent lunch"
ham,"update verification lunch verification ,discount cli.ck today verification now off;er today free today verification verification win"
ham,now update today win update call verific;ation code verifica;tion gift
ham,urgent reply lunch code verification now gif.t gift
ham,reply click meeting free hello verification account reply free verific;ation hello discount call discount today
ham,free verification offer update urgent now reply gift call free; reminder lunch meeting tomorrow meeting click meeting discount account
ham,disc;oun.t gift win click click hel.lo reminder account meeting offer
ham,account .reply code win urgent reminder r.eminder now
ham,free hello free meetin.g discount offer verifica;tion call reply reminder code tomorrow free reminder hello
ham,"code offer discount accoun,t remind;er update lunch tomorrow"
ham,"no,w lunch offer win urgent reminde;r free offe;r discount account"
ham,reminder account update t;oday hello discount
ham,today reminde.r hello clic.k tomorrow reply offer account offer tomorrow hello; reminder hello reply discount account tomorrow
ham,"call urgent update free today c.ode verifi,cation d;iscount"
ham,"cli;ck click hello rem,inder urgent code verification; win urgent call today code"
ham,now call disco;unt account h.el;lo reminder update tomorrow win gift
ham,"click win free win win call. verification, win verification t;omorrow reply free"
ham,reply; hello click reminder free gift account discount today code
ham,"offer urgent call urgent call reply call click account today today click t,omorrow reminder, reply code tomorrow"
ham,urgent offer call gift hello cod.e click account
ham,account verification verif;ication now now hello meeting verification today now account
spam,ur;gent click; now lunch call offer
spam,"gift now. offer reminder win reply a,ccount discount tomorrow lunch meeti,ng account tomorrow click discount now"
ham,meeting free meeting free reminder free mee.ting urgent reply gift now now account
ham,"verification click today remind.er win offer tod,;ay"
ham,"up,date gift account hello hello free l,unch lunch"
ham,verification call reminder hello reply tomorrow free re;ply urgent discount
ham,f.ree offer lunch lunch win today account meeting verification reminder code gift offer hello update
ham,";gift account call win lunch tomorrow today code account win tomorrow code lunch remind,er"
ham,"a,ccount lunch discount discoun,t account re;minder reminder urgent account"
ham,tomorrow click hello free call lunch tomorrow win offer urgent lunc.h lunc.h win discount now
spam,"account gift tomorrow click code free; click reply reminder code click account urgent tomorrow v,erification tomorro;w update click"
ham,today click win today urgent lunch reminder reminder free win code gi.ft click click
ham,today reminder toda.y discount account
ham,today hello meetin.g win win now update hello updat.e lunch call fre.e click urgent call
ham,call update verification call verificat;ion
ham,"call code ;meeting free urgent hello meeting urgent now urgent free click verification c;all now verifica,tion code win reply"
ham,"reminder win account reply rem.inder now ,win discount discount offer account urgent code"
spam,"t,oday hell;o hel.lo gift free hello call"
ham,today update free urgent accoun;t lunch free
spam,reminder. account ;.meeting reminder code update urgent hello click
spam,code verification code ;update reminder reminder meeting code now reminder meeting verification now free hello m.eeting
ham,"tomorrow hello reminder ,offer toda,y update gift meeting click"
spam,"d,iscount verification meetin;g code reply acc,ount"
ham,reply verification reply discount gift g;ift meeting tomorrow meeting reply win .account verification gift
ham,verification ;call call reminder gift gift today update discount lunch meeting click now meeting reply gift click now meeting
ham,win click lunch reminder discount offer account free win discount .update lunch reminder offer
ham,reply code gift call hello verification free of;fer reply click offer gift reply call discount code
ham,"hello now meeting urg.ent gif,t reply verification, hello meeting today lunch"
ham,"meeting offer call t,oday w.in"
