label,message
ham,account update now today discount lunch update urgent today click account reminder call verification reminder gift update reply discount
spam,reply hello reminder reply call now update today click click tomorrow
ham,offer click gift reply discount hello offer account verification free offer
ham,code today account reply reminder discount meeting verification click
ham,update verification gift account free
ham,offer gift free verification verification click offer reply hello tomorrow discount
ham,account update account reminder gift reply tomorrow lunch win discount offer verification hello click meeting click lunch
spam,update win hello reminder call reminder discount meeting account lunch lunch code urgent
ham,hello code verification free reply tomorrow meeting today tomorrow now verification
ham,gift code free call discount offer urgent lunch lunch reminder discount call offer tomorrow discount gift offer click
ham,discount offer offer urgent verification reminder
spam,call meeting hello lunch free code call offer call offer free account gift
ham,reminder today lunch code free reminder urgent today lunch update click urgent lunch
ham,update verification lunch verification discount click today verification now offer today free today verification verification win
ham,now update today win update call verification code verification gift
ham,urgent reply lunch code verification now gift gift
ham,reply click meeting free hello verification account reply free verification hello discount call discount today
ham,free verification offer update urgent now reply gift call free reminder lunch meeting tomorrow meeting click meeting discount account
ham,discount gift win click click hello reminder account meeting offer
ham,account reply code win urgent reminder reminder now
ham,free hello free meeting discount offer verification call reply reminder code tomorrow free reminder hello
ham,code offer discount account reminder update lunch tomorrow
ham,now lunch offer win urgent reminder free offer discount account
ham,reminder account update today hello discount
ham,today reminder hello click tomorrow reply offer account offer tomorrow hello reminder hello reply discount account tomorrow
ham,call urgent update free today code verification discount
ham,click click hello reminder urgent code verification win urgent call today code
ham,now call discount account hello reminder update tomorrow win gift
ham,click win free win win call verification win verification tomorrow reply free
ham,reply hello click reminder free gift account discount today code
ham,offer urgent call urgent call reply call click account today today click tomorrow reminder reply code tomorrow
ham,urgent offer call gift hello code click account
ham,account verification verification now now hello meeting verification today now account
spam,urgent click now lunch call offer
spam,gift now offer reminder win reply account discount tomorrow lunch meeting account tomorrow click discount now
ham,meeting free meeting free reminder free meeting urgent reply gift now now account
ham,verification click today reminder win offer today
ham,update gift account hello hello free lunch lunch
ham,verification call reminder hello reply tomorrow free reply urgent discount
ham,free offer lunch lunch win today account meeting verification reminder code gift offer hello update
ham,gift account call win lunch tomorrow today code account win tomorrow code lunch reminder
ham,account lunch discount discount account reminder reminder urgent account
ham,tomorrow click hello free call lunch tomorrow win offer urgent lunch lunch win discount now
spam,account gift tomorrow click code free click reply reminder code click account urgent tomorrow verification tomorrow update click
ham,today click win today urgent lunch reminder reminder free win code gift click click
ham,today reminder today discount account
ham,today hello meeting win win now update hello update lunch call free click urgent call
ham,call update verification call verification
ham,call code meeting free urgent hello meeting urgent now urgent free click verification call now verification code win reply
ham,reminder win account reply reminder now win discount discount offer account urgent code
spam,today hello hello gift free hello call
ham,today update free urgent account lunch free
spam,reminder account meeting reminder code update urgent hello click
spam,code verification code update reminder reminder meeting code now reminder meeting verification now free hello meeting
ham,tomorrow hello reminder offer today update gift meeting click
spam,discount verification meeting code reply account
ham,reply verification reply discount gift gift meeting tomorrow meeting reply win account verification gift
ham,verification call call reminder gift gift today update discount lunch meeting click now meeting reply gift click now meeting
ham,win click lunch reminder discount offer account free win discount update lunch reminder offer
ham,reply code gift call hello verification free offer reply click offer gift reply call discount code
ham,hello now meeting urgent gift reply verification hello meeting today lunch
ham,meeting offer call today win
ham,urgent call reply meeting verification discount free lunch account today urgent today click offer account
ham,offer urgent free account free urgent discount offer free tomorrow today account meeting lunch verification reminder update
ham,update account discount update account today tomorrow offer update verification now today lunch tomorrow
ham,account win tomorrow urgent click today reply win update account urgent tomorrow
ham,hello meeting win click verification free
ham,free call win code offer tomorrow meeting click urgent offer code reminder lunch
ham,gift account reminder discount gift urgent click verification
spam,gift hello urgent offer update reply tomorrow
ham,call reminder offer free free offer click hello tomorrow click gift free win meeting hello win hello update
ham,hello tomorrow offer offer call urgent verification free today free
ham,reminder meeting verification account verification hello tomorrow click
ham,urgent code free now now lunch now free gift free code click reminder call now call offer
ham,call hello now reply update update win meeting meeting
